title,rating,year_of_release,director,actors,runtime,url
Furie,7.9,1936,Fritz Lang,Sylvia Sidney; Spencer Tracy; Walter Abel; Bruce Cabot,92,/title/tt0027652/?ref_=adv_li_tt
"Nee, mevrouw, dat nooit!",7.8,1936,Jack Conway,Jean Harlow; William Powell; Myrna Loy; Spencer Tracy,98,/title/tt0027884/?ref_=adv_li_tt
Dodsworth,7.8,1936,William Wyler,Walter Huston; Ruth Chatterton; Paul Lukas; Mary Astor,101,/title/tt0027532/?ref_=adv_li_tt
Make Way for Tomorrow,8.2,1937,Leo McCarey,Victor Moore; Beulah Bondi; Fay Bainter; Thomas Mitchell,91,/title/tt0029192/?ref_=adv_li_tt
La Grande Illusion,8.1,1937,Jean Renoir,Jean Gabin; Dita Parlo; Pierre Fresnay; Erich von Stroheim,113,/title/tt0028950/?ref_=adv_li_tt
De stormduivels,8.0,1937,Victor Fleming,Spencer Tracy; Freddie Bartholomew; Lionel Barrymore; Melvyn Douglas,117,/title/tt0028691/?ref_=adv_li_tt
Pépé le Moko,7.7,1937,Julien Duvivier,Jean Gabin; Gabriel Gabrio; Saturnin Fabre; Fernand Charpin,94,/title/tt0029453/?ref_=adv_li_tt
Stage Door,7.7,1937,Gregory La Cava,Katharine Hepburn; Ginger Rogers; Adolphe Menjou; Gail Patrick,92,/title/tt0029604/?ref_=adv_li_tt
The Adventures of Robin Hood,7.9,1938,"Michael Curtiz, William Keighley",Errol Flynn; Olivia de Havilland; Basil Rathbone; Claude Rains,102,/title/tt0029843/?ref_=adv_li_tt
Engelen met smerige gezichten,7.9,1938,Michael Curtiz,James Cagney; Pat O'Brien; Humphrey Bogart; Ann Sheridan,97,/title/tt0029870/?ref_=adv_li_tt
Bringing Up Baby,7.8,1938,Howard Hawks,Katharine Hepburn; Cary Grant; Charles Ruggles; Walter Catlett,102,/title/tt0029947/?ref_=adv_li_tt
You Can't Take It with You,7.8,1938,Frank Capra,Jean Arthur; James Stewart; Lionel Barrymore; Edward Arnold,126,/title/tt0030993/?ref_=adv_li_tt
The Lady Vanishes,7.8,1938,Alfred Hitchcock,Margaret Lockwood; Michael Redgrave; Paul Lukas; May Whitty,96,/title/tt0030341/?ref_=adv_li_tt
Gejaagd door de wind,8.2,1939,"Victor Fleming, George Cukor, Sam Wood",Clark Gable; Vivien Leigh; Thomas Mitchell; Barbara O'Neil,238,/title/tt0031381/?ref_=adv_li_tt
The Wizard of Oz,8.1,1939,"Victor Fleming, George Cukor, Mervyn LeRoy, Norman Taurog, Richard Thorpe, King Vidor",Judy Garland; Frank Morgan; Ray Bolger; Bert Lahr,102,/title/tt0032138/?ref_=adv_li_tt
Mr. Smith Goes to Washington,8.1,1939,Frank Capra,James Stewart; Jean Arthur; Claude Rains; Edward Arnold,129,/title/tt0031679/?ref_=adv_li_tt
Midnight,7.9,1939,Mitchell Leisen,Claudette Colbert; Don Ameche; John Barrymore; Francis Lederer,94,/title/tt0031647/?ref_=adv_li_tt
La règle du jeu,7.9,1939,Jean Renoir,Marcel Dalio; Nora Gregor; Paulette Dubost; Mila Parély,110,/title/tt0031885/?ref_=adv_li_tt
De dictator,8.4,1940,Charles Chaplin,Charles Chaplin; Paulette Goddard; Jack Oakie; Reginald Gardiner,125,/title/tt0032553/?ref_=adv_li_tt
Rebecca,8.1,1940,Alfred Hitchcock,Laurence Olivier; Joan Fontaine; George Sanders; Judith Anderson,130,/title/tt0032976/?ref_=adv_li_tt
The Grapes of Wrath,8.1,1940,John Ford,Henry Fonda; Jane Darwell; John Carradine; Charley Grapewin,129,/title/tt0032551/?ref_=adv_li_tt
The Shop Around the Corner,8.0,1940,Ernst Lubitsch,Margaret Sullavan; James Stewart; Frank Morgan; Joseph Schildkraut,99,/title/tt0033045/?ref_=adv_li_tt
De bronzen godin,7.9,1940,George Cukor,Cary Grant; Katharine Hepburn; James Stewart; Ruth Hussey,112,/title/tt0032904/?ref_=adv_li_tt
Citizen Kane,8.3,1941,Orson Welles,Orson Welles; Joseph Cotten; Dorothy Comingore; Agnes Moorehead,119,/title/tt0033467/?ref_=adv_li_tt
The Maltese Falcon,8.0,1941,John Huston,Humphrey Bogart; Mary Astor; Gladys George; Peter Lorre,100,/title/tt0033870/?ref_=adv_li_tt
The Little Foxes,7.9,1941,William Wyler,Bette Davis; Herbert Marshall; Teresa Wright; Richard Carlson,116,/title/tt0033836/?ref_=adv_li_tt
Sullivan's Travels,7.9,1941,Preston Sturges,Joel McCrea; Veronica Lake; Robert Warwick; William Demarest,90,/title/tt0034240/?ref_=adv_li_tt
The Lady Eve,7.7,1941,Preston Sturges,Barbara Stanwyck; Henry Fonda; Charles Coburn; Eugene Pallette,94,/title/tt0033804/?ref_=adv_li_tt
Casablanca,8.5,1942,Michael Curtiz,Humphrey Bogart; Ingrid Bergman; Paul Henreid; Claude Rains,102,/title/tt0034583/?ref_=adv_li_tt
Spionnage in het spel,8.2,1942,Ernst Lubitsch,Carole Lombard; Jack Benny; Robert Stack; Felix Bressart,99,/title/tt0035446/?ref_=adv_li_tt
The Ox-Bow Incident,8.0,1942,William A. Wellman,Henry Fonda; Dana Andrews; Mary Beth Hughes; Anthony Quinn,75,/title/tt0036244/?ref_=adv_li_tt
"Now, Voyager",7.9,1942,Irving Rapper,Bette Davis; Paul Henreid; Claude Rains; Gladys Cooper,117,/title/tt0035140/?ref_=adv_li_tt
Gevangenen van 't verleden,7.9,1942,Mervyn LeRoy,Ronald Colman; Greer Garson; Philip Dorn; Susan Peters,126,/title/tt0035238/?ref_=adv_li_tt
De dag des oordeels,8.1,1943,Carl Theodor Dreyer,Thorkild Roose; Lisbeth Movin; Sigrid Neiiendam; Kirsten Andreasen,97,/title/tt0036506/?ref_=adv_li_tt
The Life and Death of Colonel Blimp,8.0,1943,"Michael Powell, Emeric Pressburger",Roger Livesey; Deborah Kerr; Anton Walbrook; James McKechnie,163,/title/tt0036112/?ref_=adv_li_tt
Le corbeau,7.8,1943,Henri-Georges Clouzot,Pierre Fresnay; Ginette Leclerc; Micheline Francey; Héléna Manson,92,/title/tt0035753/?ref_=adv_li_tt
Shadow of a Doubt,7.8,1943,Alfred Hitchcock,Teresa Wright; Joseph Cotten; Macdonald Carey; Henry Travers,108,/title/tt0036342/?ref_=adv_li_tt
Hoe meer hoe liever,7.7,1943,George Stevens,Jean Arthur; Joel McCrea; Charles Coburn; Richard Gaines,104,/title/tt0036172/?ref_=adv_li_tt
Bloedgeld,8.3,1944,Billy Wilder,Fred MacMurray; Barbara Stanwyck; Edward G. Robinson; Byron Barr,107,/title/tt0036775/?ref_=adv_li_tt
Arsenicum en oude kant,7.9,1944,Frank Capra,Cary Grant; Priscilla Lane; Raymond Massey; Jack Carson,118,/title/tt0036613/?ref_=adv_li_tt
Laura,7.9,1944,Otto Preminger,Gene Tierney; Dana Andrews; Clifton Webb; Vincent Price,88,/title/tt0037008/?ref_=adv_li_tt
Avontuur op Martinique,7.8,1944,Howard Hawks,Humphrey Bogart; Lauren Bacall; Walter Brennan; Dolores Moran,100,/title/tt0037382/?ref_=adv_li_tt
Gaslicht,7.8,1944,George Cukor,Charles Boyer; Ingrid Bergman; Joseph Cotten; May Whitty,114,/title/tt0036855/?ref_=adv_li_tt
Les enfants du paradis,8.3,1945,Marcel Carné,Arletty; Jean-Louis Barrault; Pierre Brasseur; Pierre Renoir,189,/title/tt0037674/?ref_=adv_li_tt
Roma città aperta,8.0,1945,Roberto Rossellini,Anna Magnani; Aldo Fabrizi; Marcello Pagliero; Vito Annichiarico,103,/title/tt0038890/?ref_=adv_li_tt
Brief Encounter,8.0,1945,David Lean,Celia Johnson; Trevor Howard; Stanley Holloway; Joyce Carey,86,/title/tt0037558/?ref_=adv_li_tt
Er groeit een boom in Brooklyn,8.0,1945,Elia Kazan,Dorothy McGuire; Joan Blondell; James Dunn; Lloyd Nolan,129,/title/tt0038190/?ref_=adv_li_tt
Mildred Pierce,7.9,1945,Michael Curtiz,Joan Crawford; Jack Carson; Zachary Scott; Eve Arden,111,/title/tt0037913/?ref_=adv_li_tt
It's a Wonderful Life,8.6,1946,Frank Capra,James Stewart; Donna Reed; Lionel Barrymore; Thomas Mitchell,130,/title/tt0038650/?ref_=adv_li_tt
De beste jaren van ons leven,8.1,1946,William Wyler,Myrna Loy; Dana Andrews; Fredric March; Teresa Wright,170,/title/tt0036868/?ref_=adv_li_tt
De schoenpoetsertjes,8.0,1946,Vittorio De Sica,Rinaldo Smordoni; Franco Interlenghi; Annielo Mele; Bruno Ortensi,87,/title/tt0038913/?ref_=adv_li_tt
Een Zaak van Leven en Dood,8.0,1946,"Michael Powell, Emeric Pressburger",David Niven; Kim Hunter; Robert Coote; Kathleen Byron,104,/title/tt0038733/?ref_=adv_li_tt
The Big Sleep,7.9,1946,Howard Hawks,Humphrey Bogart; Lauren Bacall; John Ridgely; Martha Vickers,114,/title/tt0038355/?ref_=adv_li_tt
Gangsters vergeten niet,8.0,1947,Jacques Tourneur,Robert Mitchum; Jane Greer; Kirk Douglas; Rhonda Fleming,97,/title/tt0039689/?ref_=adv_li_tt
Miracle on 34th Street,7.9,1947,George Seaton,Edmund Gwenn; Maureen O'Hara; John Payne; Gene Lockhart,96,/title/tt0039628/?ref_=adv_li_tt
Mrs. Muir ziet spoken,7.8,1947,Joseph L. Mankiewicz,Gene Tierney; Rex Harrison; George Sanders; Edna Best,104,/title/tt0039420/?ref_=adv_li_tt
Monsieur Verdoux,7.8,1947,Charles Chaplin,Charles Chaplin; Mady Correll; Allison Roddan; Robert Lewis,124,/title/tt0039631/?ref_=adv_li_tt
Quai des Orfèvres,7.7,1947,Henri-Georges Clouzot,Louis Jouvet; Simone Renant; Bernard Blier; Suzy Delair,106,/title/tt0039739/?ref_=adv_li_tt
Ladri di biciclette,8.3,1948,Vittorio De Sica,Lamberto Maggiorani; Enzo Staiola; Lianella Carell; Elena Altieri,89,/title/tt0040522/?ref_=adv_li_tt
The Treasure of the Sierra Madre,8.2,1948,John Huston,Humphrey Bogart; Walter Huston; Tim Holt; Bruce Bennett,126,/title/tt0040897/?ref_=adv_li_tt
The Red Shoes,8.1,1948,"Michael Powell, Emeric Pressburger",Anton Walbrook; Marius Goring; Moira Shearer; Robert Helpmann,135,/title/tt0040725/?ref_=adv_li_tt
Rope,7.9,1948,Alfred Hitchcock,James Stewart; John Dall; Farley Granger; Dick Hogan,80,/title/tt0040746/?ref_=adv_li_tt
I Remember Mama,7.9,1948,George Stevens,Irene Dunne; Barbara Bel Geddes; Oskar Homolka; Philip Dorn,134,/title/tt0040458/?ref_=adv_li_tt
Banshun,8.2,1949,Yasujirô Ozu,Chishû Ryû; Setsuko Hara; Yumeji Tsukioka; Haruko Sugimura,108,/title/tt0041154/?ref_=adv_li_tt
De erfgename,8.1,1949,William Wyler,Olivia de Havilland; Montgomery Clift; Ralph Richardson; Miriam Hopkins,115,/title/tt0041452/?ref_=adv_li_tt
White Heat,8.1,1949,Raoul Walsh,James Cagney; Virginia Mayo; Edmond O'Brien; Margaret Wycherly,114,/title/tt0042041/?ref_=adv_li_tt
The Third Man,8.1,1949,Carol Reed,Orson Welles; Joseph Cotten; Alida Valli; Trevor Howard,104,/title/tt0041959/?ref_=adv_li_tt
Kind Hearts and Coronets,8.0,1949,Robert Hamer,Dennis Price; Alec Guinness; Valerie Hobson; Joan Greenwood,106,/title/tt0041546/?ref_=adv_li_tt
Sunset Boulevard,8.4,1950,Billy Wilder,William Holden; Gloria Swanson; Erich von Stroheim; Nancy Olson,110,/title/tt0043014/?ref_=adv_li_tt
Los olvidados,8.3,1950,Luis Buñuel,Alfonso Mejía; Roberto Cobo; Estela Inda; Miguel Inclán,85,/title/tt0042804/?ref_=adv_li_tt
